sdf
adf   adfsdf
af dff

J F M A M J J A S O N D J
222 169 113 132 51 13 12 8 9 12 63 147 162
699 492 398 452 531 849 974 769 1017 927 664 647 699

JUL AUG SEP OCT NOV DEC JAN FEB MAR APR MAY JUN JUL
J A S O N D J F M A M J J
14 10 10 12 29 108 210 140 109 105 33 12 10
855 1024 820 563 698 744 833 702 660 688 583 596 875
855 1024 820 563 698 744 833 702 660 688 583 596 875
855 1024 820 563 698 744 833 702 660 688 583 596 875
855 1024 820 563 698 744 833 702 660 688 583 596 875

JUN JUL AUG SEP OCT NOV DEC JAN FEB MAR APR MAY JUN
J J A S O N D J F M A M J
12 10 9 14 14 37 112 222 169 113 132 51 13
596 875 796 809 897 696 589 699 492 398 452 531 849
